Title;Speaker;Place;Day;Time;Description
Getting what you want;;Salon C-D;Saturday;2:30 p.m. - 3:30 p.m.;"
"
"Excel for elections (cont&#39;d)";;Wellesley;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Writing the investigative story;;Salon A-B;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Tracking corruption internationally;;Boylston;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Broadcast: Going national;;Clarendon-Dartmouth;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Investigating shadowy organizations;;Salon C-D;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Investigations with class: Doing projects with students;;Tremont;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Campaign 2012: Online tools for digging into campaign cash (Sponsored by Rockefeller Brothers Fund);;Suffolk;Saturday;3:40 p.m. - 4:40 p.m.;"
"
Using public records to shine a light on the dark side of the healthcare crisis;;Arlington-Berkeley;Saturday;3:40 p.m. - 4:40 p.m.;Deadly drugs, fraud and systemic safety problems at major hospitals are just some of the issues reporters investigated and uncovered in the  past year using public records. Learn about the public records  (including databases) that can be used to find wrongdoing and the  strategies to use them effectively to find and tell important stories.
Investigating the legal and justice systems;;Salon E;Saturday;3:40 p.m. - 4:40 p.m.;"
"
The legacy of Watergate 40 years later: A conversation with Leonard Downie Jr.;;Boylston;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Lifting the veil: Digging into national security investigations;;Arlington-Berkeley;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Using Weave to provide interactive data visualizations to the public;;Suffolk;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Collaboration: Leveraging the power of public broadcasters;;Salon A-B;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Advanced functions in Excel;;Wellesley;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Covering veterans issues;;Tremont;Saturday;4:50 p.m. - 5:50 p.m.;"
"
"Let&#39;s get critical";;Clarendon-Dartmouth;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Not-your-sob sisters: Three women who broke barriers;;Salon E;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Spanish-language investigations;;Salon C-D;Saturday;4:50 p.m. - 5:50 p.m.;"
"
Membership meeting and IRE Board of Directors elections;;Salon E;Saturday;6 p.m. - 7:15 p.m.;"
"
Closing reception (Sponsored by Boston University College of Communication and IRE);;See printed schedule for room information;Saturday;7:30 p.m. - 9 p.m.;"
"
Building your career: A roundtable discussion;;Arlington-Berkeley;Sunday;9 a.m. - 10 a.m.;"
"
Cool web tools;;Salon A-B;Sunday;9 a.m. - 10 a.m.;"
"
Storyboarding;;Salon A-B;Sunday;10:10 a.m. - 11:10 a.m.;"
"
Data and documents;;Arlington-Berkeley;Sunday;10:10 a.m. - 11:10 a.m.;"
"
