Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Breaking out the heavy artillery - using data to track weapons,2014-02-27,3:00:00 p.m.,2014-02-27,3:50 p.m.,False,"Speakers: David Fallis, Griff Palmer - Learn how to mine disparate sources of data to pierce the federally-imposed secrecy surrounding crime guns. You'll learn how to combine data sets to trace guns from store counter to crime scene, how to tap into a gunfire detection system used by many agencies that logs the latitude and longitude of gunshots, and more. You'll also learn how programming tools can be used to scrape data -- in this case from a gun trading website -- that revealed the way large numbers of guns change hands with no background checks.",Salon BC,False
The Investigative Dashboard – Tools to expose organized crime and corruption around the world.,2014-02-27,4:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Margot Williams, Hawley Johnson - Your stories are international - your research should be too. That vital piece of evidence might be in another country, in another language, in a database you have never heard of before. The Investigative Dashboard helps you find it, both with databases and with personal help from skilled researchers. Come demo the Investigative Dashboard, a research tool of the Organized Crime and Corruption Reporting Project developed in collaboration with Google Ideas. &nbsp;",Chesapeake,False
Investigating infrastructure: The National Inventory of Dams,2014-02-27,4:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Liz Lucas, Joseph A. Davis - Critical infrastructure keeps high waters and dangerous chemicals at bay, but what happens when the infrastructure fails? We will talk broadly about the importance of investigating infrastructure, including tips for stories and data sources. We'll drill down into the elusive National Inventory of Dams, which the U.S. Army Corps of Engineers stopped releasing shortly after 9/11. The database has more recently become searchable on the USACE website, and NICAR and SEJ have acquired a copy.",Salon BC,False
Harnessing the power of the crowd,2014-02-27,4:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Mohammed Haddad, Robert Benincasa - Crowdsourcing doesn't mean seeking consensus from the group. This session will focus on harnessing a crowd's diversity and personal stories, not just the combined megaphone of their voices. You'll learn strategies to create a database with multiple, disparate sources, and to match your database design decisions to your needs for the story. And we'll look at how to present your work on mobile devices, and integrate social media to help drive data acquisition.",Salon DEF,False
How the internet watches you,2014-02-27,4:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Nat Meysenburg, Dan Staples - Privacy is not dead. Surveillance is not inevitable. But if we ever want to keep our data from the snoops and thieves, or work to keep sources and contacts safe, we first need to understand how the internet works. In this visual presentation, Technologists from the Open Technology Institute explain the basics of what happens when you send an email or connect to a WiFi hotspot, and how criminals and governments (or criminal governments) can intercept and monitor that data.",Grand Ballroom East,False
Tools for cracking PDFs,2014-02-27,4:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Edward Duncan, Jeremy Merrill, Mark Horvit - **Moderated by Mark Horvit, IRE/NICAR",Grand Ballroom West,False
CAR Conference Registration (Friday),2014-02-28,8:00:00 a.m.,2014-02-28,5:00:00 p.m.,False,Registration will be located on the 1st floor of the Baltimore Marriott Inner Harbor in University Ballroom.,University Ballroom,False
CAR Conference Sales (Friday),2014-02-28,8:00:00 a.m.,2014-02-28,5:00:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.&nbsp;",University Ballroom,False
Finding great stories in not-so-great nonprofits,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Luke Rosiak, Kendall Taggart - In the session, you'll learn about using detailed nonprofit disclosures to background people and businesses and crack open stories on this massive sector of the economy. Speakers will walk you through how to find stories in citizenaudit.org, a new resource that's made millions of nonprofit tax filings fully text-searchable. They'll show you some useful ways of crunching nonprofit data to identify red flags for fraud. And, they'll share places to find key documents beyond the basic 990. You'll leave with tangible story ideas and tools for using these resources on any beat.",Salon DEF,False
It&#39;s a disaster,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Matt Jacob, Alex Richards - Many indispensable data sources can quickly be at your fingertips should disaster ever strike. We'll discuss some of the best examples of this kind of reporting from around the country and what to have on hand in your newsroom to be prepared.",Salon BC,False
The year in CAR in odorama,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Jaimi Dowdell, Mark Horvit, Jennifer LaFleur - **Jennifer LaFleur, Odor Master",Grand Ballroom East,False
